# m2a   m2b   semi    K2a K2b
  1.16  33.38 0.43    11  14 
  1.24  2.26  0.32    13  14 
  0.95  25.72 0.2     11  14 
  7.9   1.13  0.72    14  11 
  1.17  14.77 681.08  11  14 
  1.06  16.35 319.69  11  14 
  1.02  14.09 300.85  11  14 
  18.77 0.71  234.11  14  11 
  19.02 0.75  720.81  14  11 
  1.32  14.55 546.5   12  14 
  1.01  18.99 1405.94 11  14 
  16.75 0.53  483.0   14  11 
  34.51 1.02  0.14    14  11 
  1.23  2.26  0.04    12  14 
  0.95  25.72 0.14    11  14 
  1.27  7.18  0.3     12  14 
  1.28  13.48 297.89  12  14 
  14.34 1.08  443.08  14  11 
  17.1  0.99  744.54  14  11 
  14.49 0.99  125.34  14  11 
  0.53  13.75 184.87  11  14 
  0.94  16.47 451.33  11  14 
  0.69  13.14 17.31   11  14 
  1.0   17.87 1201.67 11  14 
  15.64 1.16  1082.83 14  11 
  17.42 0.55  194.33  14  11 
  38.08 1.26  0.19    14  13 
  0.92  7.51  0.27    11  14 
  1.04  13.82 558.84  11  14 
  0.99  14.89 581.15  11  14 
  0.7   15.64 1056.39 11  14 
  0.53  13.45 178.94  11  14 
  0.99  39.71 0.82    11  14 
  0.74  18.9  0.55    11  14 
  8.72  1.24  0.1     14  13 
  0.64  12.23 240.04  11  14 
  13.43 0.86  117.18  14  11 
  8.17  1.25  165.88  14  12 
  13.89 0.59  239.53  14  11 
  13.22 0.53  530.08  14  11 
  13.31 0.69  231.77  14  11 
  0.53  13.85 133.16  11  14 
  0.99  39.71 0.06    11  14 
  1.25  24.47 0.27    12  14 
  10.37 1.17  0.1     14  11 
  0.68  12.8  308.76  11  14 
  13.79 1.35  2.6     14  12 
  1.24  27.71 51.38   13  14 
  1.02  13.42 356.48  11  14 
  14.59 0.64  193.06  14  11 
  15.15 1.01  173.78  14  11 
  18.36 0.62  184.54  14  11 
  0.99  41.31 0.41    11  14 
  1.33  11.51 0.34    12  14 
  0.99  13.42 438.74  11  14 
  0.78  12.02 10.51   11  14 
  7.7   1.3   469.14  14  12 
  15.81 0.7   320.6   14  11 
  17.56 0.58  163.48  14  11 
  17.14 0.64  127.34  14  11 
  0.63  18.11 193.56  11  14 
  16.59 0.53  87.7    14  11 
  42.4  1.06  0.76    14  11 
  1.33  28.67 5.06    12  14 
  1.22  12.81 0.13    12  14 
  0.59  12.8  123.53  11  14 
  1.2   7.45  2.21    12  14 
  0.99  13.42 438.74  11  14 
  12.78 1.14  440.73  14  11 
  0.78  12.02 8.27    11  14 
  7.83  0.52  61.47   14  11 
  16.08 1.2   59.66   14  11 
  0.87  42.97 0.1     11  14 
  0.84  14.74 0.11    11  14 
  13.91 1.36  182.88  14  12 
  14.5  1.11  654.06  14  11 
  1.24  7.83  12.49   12  14 
  0.54  16.54 990.72  11  14 
  13.7  1.12  618.24  14  11 
  14.06 1.18  69.45   14  11 
  18.29 0.78  4.8     14  11 
  1.05  45.79 0.29    11  14 
  1.3   33.14 1.18    12  14 
  1.3   12.8  1.53    12  14 
  12.25 1.35  1.96    14  12 
  16.35 0.83  328.18  14  11 
  0.88  14.59 418.69  11  14 
  13.32 0.56  474.15  14  11 
  0.6   14.32 284.05  11  14 
  17.96 0.61  260.43  14  11 
  0.72  16.7  76.65   11  14 
  0.58  14.78 579.78  11  14 
  18.29 0.78  4.6     14  11 
  0.65  13.75 420.97  11  14 
